source	target
petclinic-backend/src/main/java/victor/training/petclinic/mapper/PetMapper.java	petclinic-backend/src/main/java/victor/training/petclinic/domain/PetType.java
petclinic-backend/src/main/java/victor/training/petclinic/mapper/PetMapper.java	petclinic-backend/src/main/java/victor/training/petclinic/mapper/VisitMapper.java
petclinic-backend/src/main/java/victor/training/petclinic/mapper/PetMapper.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/PetDto.java
petclinic-backend/src/main/java/victor/training/petclinic/mapper/PetMapper.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/PetFieldsDto.java
petclinic-backend/src/main/java/victor/training/petclinic/mapper/PetMapper.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/PetTypeDto.java
petclinic-backend/src/main/java/victor/training/petclinic/mapper/PetTypeMapper.java	petclinic-backend/src/main/java/victor/training/petclinic/domain/PetType.java
petclinic-backend/src/main/java/victor/training/petclinic/mapper/PetTypeMapper.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/PetTypeDto.java
petclinic-backend/src/main/java/victor/training/petclinic/mapper/PetTypeMapper.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/PetTypeFieldsDto.java
petclinic-backend/src/main/java/victor/training/petclinic/mapper/SpecialtyMapper.java	petclinic-backend/src/main/java/victor/training/petclinic/domain/Specialty.java
petclinic-backend/src/main/java/victor/training/petclinic/mapper/SpecialtyMapper.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/SpecialtyDto.java
petclinic-backend/src/main/java/victor/training/petclinic/mapper/UserMapper.java	petclinic-backend/src/main/java/victor/training/petclinic/domain/User.java
petclinic-backend/src/main/java/victor/training/petclinic/mapper/UserMapper.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/UserDto.java
petclinic-backend/src/main/java/victor/training/petclinic/mapper/VetMapper.java	petclinic-backend/src/main/java/victor/training/petclinic/domain/Vet.java
petclinic-backend/src/main/java/victor/training/petclinic/mapper/VetMapper.java	petclinic-backend/src/main/java/victor/training/petclinic/mapper/SpecialtyMapper.java
petclinic-backend/src/main/java/victor/training/petclinic/mapper/VetMapper.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/VetDto.java
petclinic-backend/src/main/java/victor/training/petclinic/mapper/VetMapper.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/VetFieldsDto.java
petclinic-backend/src/main/java/victor/training/petclinic/mapper/VisitMapper.java	petclinic-backend/src/main/java/victor/training/petclinic/domain/Visit.java
petclinic-backend/src/main/java/victor/training/petclinic/mapper/VisitMapper.java	petclinic-backend/src/main/java/victor/training/petclinic/mapper/PetMapper.java
petclinic-backend/src/main/java/victor/training/petclinic/mapper/VisitMapper.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/VisitDto.java
petclinic-backend/src/main/java/victor/training/petclinic/mapper/VisitMapper.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/VisitFieldsDto.java
petclinic-backend/src/main/java/victor/training/petclinic/mcp/PetClinicMcp.java	petclinic-backend/src/main/java/victor/training/petclinic/domain/Owner.java
petclinic-backend/src/main/java/victor/training/petclinic/mcp/PetClinicMcp.java	petclinic-backend/src/main/java/victor/training/petclinic/domain/Pet.java
petclinic-backend/src/main/java/victor/training/petclinic/mcp/PetClinicMcp.java	petclinic-backend/src/main/java/victor/training/petclinic/domain/Vet.java
petclinic-backend/src/main/java/victor/training/petclinic/mcp/PetClinicMcp.java	petclinic-backend/src/main/java/victor/training/petclinic/domain/Visit.java
petclinic-backend/src/main/java/victor/training/petclinic/mcp/PetClinicMcp.java	petclinic-backend/src/main/java/victor/training/petclinic/mcp/McpSecurity.java
petclinic-backend/src/main/java/victor/training/petclinic/mcp/PetClinicMcp.java	petclinic-backend/src/main/java/victor/training/petclinic/repository/OwnerRepository.java
petclinic-backend/src/main/java/victor/training/petclinic/mcp/PetClinicMcp.java	petclinic-backend/src/main/java/victor/training/petclinic/repository/PetRepository.java
petclinic-backend/src/main/java/victor/training/petclinic/mcp/PetClinicMcp.java	petclinic-backend/src/main/java/victor/training/petclinic/repository/VisitRepository.java
petclinic-backend/src/main/java/victor/training/petclinic/repository/OwnerRepository.java	petclinic-backend/src/main/java/victor/training/petclinic/domain/Owner.java
petclinic-backend/src/main/java/victor/training/petclinic/repository/PetRepository.java	petclinic-backend/src/main/java/victor/training/petclinic/domain/Pet.java
petclinic-backend/src/main/java/victor/training/petclinic/repository/PetRepository.java	petclinic-backend/src/main/java/victor/training/petclinic/domain/PetType.java
petclinic-backend/src/main/java/victor/training/petclinic/repository/PetTypeRepository.java	petclinic-backend/src/main/java/victor/training/petclinic/domain/PetType.java
petclinic-backend/src/main/java/victor/training/petclinic/repository/SpecialtyRepository.java	petclinic-backend/src/main/java/victor/training/petclinic/domain/Specialty.java
petclinic-backend/src/main/java/victor/training/petclinic/repository/UserRepository.java	petclinic-backend/src/main/java/victor/training/petclinic/domain/User.java
petclinic-backend/src/main/java/victor/training/petclinic/repository/VetRepository.java	petclinic-backend/src/main/java/victor/training/petclinic/domain/Vet.java
petclinic-backend/src/main/java/victor/training/petclinic/repository/VisitRepository.java	petclinic-backend/src/main/java/victor/training/petclinic/domain/Visit.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/OwnerRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/domain/Owner.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/OwnerRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/domain/Pet.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/OwnerRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/domain/Visit.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/OwnerRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/mapper/OwnerMapper.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/OwnerRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/mapper/PetMapper.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/OwnerRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/mapper/VisitMapper.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/OwnerRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/repository/OwnerRepository.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/OwnerRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/repository/PetRepository.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/OwnerRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/repository/PetTypeRepository.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/OwnerRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/repository/VetRepository.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/OwnerRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/repository/VisitRepository.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/OwnerRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/ApiExamples.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/OwnerRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/OwnerDto.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/OwnerRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/OwnerFieldsDto.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/OwnerRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/PetDto.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/OwnerRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/PetFieldsDto.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/OwnerRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/VisitFieldsDto.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/PetRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/domain/Pet.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/PetRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/mapper/PetMapper.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/PetRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/repository/PetRepository.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/PetRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/ApiExamples.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/PetRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/PetDto.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/PetTypeRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/domain/PetType.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/PetTypeRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/mapper/PetTypeMapper.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/PetTypeRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/repository/PetTypeRepository.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/PetTypeRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/ApiExamples.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/PetTypeRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/PetTypeDto.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/PetTypeRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/PetTypeFieldsDto.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/SpecialtyFeed.java	petclinic-backend/src/main/java/victor/training/petclinic/domain/Specialty.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/SpecialtyFeed.java	petclinic-backend/src/main/java/victor/training/petclinic/repository/SpecialtyRepository.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/SpecialtyFeedController.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/SpecialtyFeed.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/SpecialtyFeedController.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/SpecialtyRestController.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/SpecialtyRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/domain/Specialty.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/SpecialtyRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/mapper/SpecialtyMapper.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/SpecialtyRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/repository/SpecialtyRepository.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/SpecialtyRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/ApiExamples.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/SpecialtyRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/SpecialtyFeed.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/SpecialtyRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/SpecialtyDto.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/UserRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/domain/Role.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/UserRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/domain/User.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/UserRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/mapper/UserMapper.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/UserRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/repository/UserRepository.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/UserRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/UserDto.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/VetRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/domain/Specialty.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/VetRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/domain/Vet.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/VetRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/mapper/SpecialtyMapper.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/VetRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/mapper/VetMapper.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/VetRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/repository/SpecialtyRepository.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/VetRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/repository/VetRepository.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/VetRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/ApiExamples.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/VetRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/VetDto.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/VisitRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/domain/Visit.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/VisitRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/mapper/VisitMapper.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/VisitRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/repository/VetRepository.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/VisitRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/repository/VisitRepository.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/VisitRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/ApiExamples.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/VisitRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/VisitDto.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/VisitRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/VisitFieldsDto.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/OwnerDto.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/PetDto.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/PetDto.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/PetTypeDto.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/PetDto.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/VisitDto.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/PetFieldsDto.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/PetTypeDto.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/UserDto.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/RoleDto.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/VetDto.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/SpecialtyDto.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/VetFieldsDto.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/SpecialtyDto.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/error/ExceptionControllerAdvice.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/error/ValidationErrorExtractor.java
petclinic-backend/src/main/java/victor/training/petclinic/rest/error/ExceptionControllerAdvice.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/error/ValidationErrorFieldExtractor.java
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/Assistant.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/ChatHistory.java
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/Assistant.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/JudgeGuard.java
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/Assistant.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/LocalTools.java
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/Assistant.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/OwnerJwtPrincipal.java
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/Assistant.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/TokenCostMeter.java
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/ChatHistory.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/Assistant.java
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/OwnerJwtPrincipal.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/RemoteToolsConfig.java
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/OwnerJwtPrincipal.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/SecurityConfig.java
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/RemoteToolsConfig.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/OwnerJwtPrincipal.java
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/SecurityConfig.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/OwnerJwtPrincipal.java
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/FirefighterAgent.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/FirefighterGuard.java
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/FirefighterAgent.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/GrafanaClient.java
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/FirefighterAgent.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/GrafanaFindings.java
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/FirefighterAgent.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/HealthProbe.java
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/FirefighterAgent.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/MetricsSnapshot.java
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/FirefighterAgent.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/ProcessControl.java
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/FirefighterAgent.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/RealProcessControl.java
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/FirefighterAgent.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/RestartResult.java
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/FirefighterAgent.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/Service.java
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/FirefighterAgent.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/ServiceHealth.java
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/FirefighterController.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/FirefighterAgent.java
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/FirefighterGuard.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/ProcessControl.java
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/FirefighterGuard.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/RestartResult.java
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/FirefighterGuard.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/Service.java
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/GrafanaClient.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/GrafanaFindings.java
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/HealthProbe.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/MetricsSnapshot.java
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/HealthProbe.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/Service.java
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/HealthProbe.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/ServiceHealth.java
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/ProcessControl.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/FirefighterGuard.java
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/ProcessControl.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/RealProcessControl.java
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/RealProcessControl.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/FirefighterGuard.java
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/RealProcessControl.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/ProcessControl.java
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/RestartResult.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/FirefighterGuard.java
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/RestartResult.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/Service.java
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/Service.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/FirefighterGuard.java
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/Service.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/ProcessControl.java
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/ServiceHealth.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/Service.java
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/triage/TriageController.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/triage/PetTriageAgent.java
petclinic-database/src/main/java/ro/victorrentea/petclinic/db/PostgresLauncher.java	petclinic-database/src/main/java/ro/victorrentea/petclinic/db/NetworkLatencyProxy.java
refactoring-legacy/src/main/java/victor/training/petclinic/rewrite/ListGetFirst.java	refactoring-legacy/src/main/java/victor/training/petclinic/rewrite/InlineSingleUseLocalVariable.java
